genreId,genreCat,month,day,year,revenue
18,Drama,1,13,2006,42647449
18,Drama,8,11,2006,4911725
99,Documentary,1,24,2006,46243000
18,Drama,12,20,2006,155721132
99,Documentary,8,4,2006,1678874
35,Comedy,2,17,2006,48548426
18,Drama,9,15,2006,123384128
18,Drama,10,20,2006,21000000
18,Drama,1,1,2006,0
99,Documentary,7,27,2007,1431623
35,Comedy,3,3,2007,0
35,Comedy,8,17,2007,121463226
99,Documentary,4,30,2007,274661
35,Comedy,3,1,2007,0
36,History,9,20,2007,26527510
18,Drama,9,26,2007,8159508
18,Drama,8,24,2007,71904
18,Drama,12,27,2007,30226144
18,Drama,5,22,2007,19777647
18,Drama,2,9,2007,0
37,Western,9,6,2007,70016220
35,Comedy,7,27,2007,0
99,Documentary,9,27,2007,0
99,Documentary,1,19,2007,0
35,Comedy,9,21,2007,13620075
99,Documentary,6,15,2007,0
18,Drama,10,5,2007,92
18,Drama,8,5,2007,0
35,Comedy,8,3,2007,0
27,Horror,6,8,2007,35619521
18,Drama,9,26,2007,2849142
35,Comedy,4,1,2007,0
18,Drama,12,28,2007,77208711
53,Thriller,4,27,2007,0
18,Drama,3,23,2007,22222308
18,Drama,11,2,2007,0
35,Comedy,7,25,2007,92601050
18,Drama,6,14,2007,0
18,Drama,10,14,2007,73276047
35,Comedy,7,4,2007,69307224
27,Horror,1,1,2007,0
35,Comedy,9,7,2007,0
18,Drama,8,24,2007,1185783
18,Drama,1,19,2007,0
18,Drama,11,16,2007,0
99,Documentary,5,18,2007,24538513
35,Comedy,1,21,2007,0
35,Comedy,2,2,2007,69485490
18,Drama,6,1,2007,2955039
35,Comedy,5,25,2007,22179430
27,Horror,4,5,2007,62771059
18,Drama,5,18,2007,0
18,Drama,11,21,2007,66122026
35,Comedy,1,1,2007,0
35,Comedy,9,5,2008,69497
18,Drama,9,26,2008,33456317
35,Comedy,8,28,2008,6230276
18,Drama,12,11,2008,0
35,Comedy,4,23,2008,63833449
99,Documentary,2,15,2008,7518876
35,Comedy,12,9,2008,225990978
35,Comedy,1,9,2008,53191886
18,Drama,9,24,2008,28814580
12,Adventure,9,17,2008,38105395
18,Drama,7,3,2008,2899975
35,Comedy,9,18,2008,42105111
35,Comedy,2,28,2008,33472850
35,Comedy,7,25,2008,128107642
18,Drama,10,24,2008,0
18,Drama,6,20,2008,0
99,Documentary,2,12,2008,0
35,Comedy,2,3,2008,92380927
18,Drama,11,5,2008,382174
18,Drama,9,7,2008,0
27,Horror,1,1,2008,0
18,Drama,11,18,2008,49554002
18,Drama,12,9,2008,269958228
35,Comedy,1,24,2008,84646831
35,Comedy,2,1,2008,6575282
18,Drama,1,25,2008,0
18,Drama,12,18,2008,168167691
18,Drama,1,22,2008,32483410
10402,Music,10,21,2008,0
28,Action,10,15,2008,85416905
18,Drama,4,7,2008,0
35,Comedy,12,5,2008,0
18,Drama,3,20,2008,23311391
35,Comedy,3,20,2008,0
18,Drama,2,28,2008,0
18,Drama,5,22,2008,0
18,Drama,10,10,2008,9793496
35,Comedy,2,1,2008,0
18,Drama,4,24,2008,0
18,Drama,10,3,2008,0
99,Documentary,10,10,2008,0
18,Drama,8,1,2008,0
99,Documentary,9,7,2008,0
35,Comedy,3,20,2009,91636986
18,Drama,11,6,2009,47536959
18,Drama,12,4,2009,0
18,Drama,6,1,2009,110197
35,Comedy,3,11,2009,136267476
35,Comedy,10,16,2009,9069
28,Action,4,17,2009,87784194
18,Drama,1,17,2009,0
18,Drama,4,24,2009,31720158
35,Comedy,4,3,2009,17164377
27,Horror,1,1,2009,0
18,Drama,1,1,2009,0
99,Documentary,9,6,2009,17436509
27,Horror,10,16,2009,0
35,Comedy,8,14,2009,0
18,Drama,6,26,2009,95714875
35,Comedy,1,9,2009,114663461
18,Drama,2,7,2009,0
35,Comedy,6,5,2009,459270619
18,Drama,11,20,2009,309208309
18,Drama,3,27,2009,0
18,Drama,9,14,2009,0
18,Drama,11,5,2009,0
27,Horror,8,28,2009,39421467
27,Horror,9,13,2009,0
18,Drama,5,14,2009,2357852
35,Comedy,7,8,2009,0
18,Drama,9,13,2009,16633035
35,Comedy,6,19,2009,0
99,Documentary,11,25,2009,0
35,Comedy,12,17,2009,85280250
35,Comedy,8,21,2009,6405245
35,Comedy,9,3,2009,10848783
18,Drama,1,18,2009,0
18,Drama,12,25,2009,0
18,Drama,3,21,2009,0
35,Comedy,9,30,2009,0
35,Comedy,9,4,2009,40105542
878,Science Fiction,8,5,2009,210819611
35,Comedy,1,30,2009,29010817
99,Documentary,10,1,2010,103735
35,Comedy,9,10,2010,74952305
99,Documentary,7,6,2010,0
18,Drama,8,20,2010,60251371
35,Comedy,8,20,2010,0
27,Horror,1,1,2010,0
18,Drama,6,30,2010,0
35,Comedy,6,8,2010,0
27,Horror,1,21,2010,67918658
18,Drama,12,17,2010,93617009
35,Comedy,7,30,2010,86387857
18,Drama,1,1,2010,0
18,Drama,6,11,2010,13831503
18,Drama,11,5,2010,37000000
878,Science Fiction,11,11,2010,66821036
18,Drama,1,21,2010,15134293
35,Comedy,12,25,2010,237382724
35,Comedy,9,10,2010,563706
878,Science Fiction,12,1,2010,11212294
18,Drama,10,7,2010,9479718
35,Comedy,6,24,2010,271430189
99,Documentary,4,16,2010,0
35,Comedy,8,1,2010,453079
18,Drama,9,30,2010,224920315
18,Drama,1,22,2010,382946
35,Comedy,4,8,2010,152263880
35,Comedy,3,9,2010,0
18,Drama,10,20,2010,25147786
18,Drama,10,7,2010,0
18,Drama,5,1,2010,48190704
99,Documentary,5,14,2010,4074023
99,Documentary,1,1,2010,0
18,Drama,12,16,2010,5129058
35,Comedy,4,2,2010,39340177
18,Drama,8,12,2010,204594016
18,Drama,5,14,2010,771499
18,Drama,10,29,2010,42145
99,Documentary,10,8,2010,7871522
35,Comedy,3,12,2010,21409028
35,Comedy,6,4,2010,90029656
28,Action,3,16,2010,136000000
18,Drama,6,9,2010,0
18,Drama,8,26,2011,0
18,Drama,3,15,2011,0
99,Documentary,9,11,2011,25000
99,Documentary,7,29,2011,0
35,Comedy,3,13,2011,0
18,Drama,2,11,2011,330048
18,Drama,2,25,2011,2295733
878,Science Fiction,3,13,2011,22000
18,Drama,9,30,2011,34522221
35,Comedy,6,18,2011,30905
18,Drama,8,26,2011,0
18,Drama,4,11,2011,0
27,Horror,3,27,2011,0
18,Drama,10,30,2011,5355847
18,Drama,6,24,2011,1759252
18,Drama,3,25,2011,399611
18,Drama,9,30,2011,46495
35,Comedy,11,11,2011,149673788
18,Drama,12,24,2011,55247881
18,Drama,9,22,2011,110206216
18,Drama,9,16,2011,0
18,Drama,10,2,2011,17693675
18,Drama,3,25,2011,0
35,Comedy,8,5,2011,75450437
18,Drama,10,17,2011,35057696
35,Comedy,2,11,2011,6861102
35,Comedy,9,9,2011,0
35,Comedy,2,25,2011,83160734
53,Thriller,10,14,2011,0
27,Horror,10,19,2011,205703818
18,Drama,9,24,2011,75993061
35,Comedy,10,13,2011,7448385
35,Comedy,5,25,2011,254455986
18,Drama,2,11,2011,970816
35,Comedy,11,4,2011,35387212
35,Comedy,5,16,2011,216197492
18,Drama,6,9,2011,0
18,Drama,12,21,2011,5634828
35,Comedy,5,6,2011,37710610
18,Drama,8,9,2011,124272124
18,Drama,10,6,2011,20374201
35,Comedy,4,29,2011,10130000
35,Comedy,4,8,2011,26121638
35,Comedy,12,9,2011,34942188
18,Drama,10,12,2012,0
35,Comedy,4,27,2012,0
35,Comedy,10,11,2012,73100172
99,Documentary,7,9,2012,0
18,Drama,10,25,2012,0
35,Comedy,12,19,2012,41863726
99,Documentary,2,24,2012,845188
35,Comedy,12,25,2012,119772232
99,Documentary,9,28,2012,0
99,Documentary,10,4,2012,0
35,Comedy,3,6,2012,0
35,Comedy,8,31,2012,1243961
10751,Family,8,29,2012,0
99,Documentary,8,31,2012,444575
53,Thriller,3,2,2012,13551174
28,Action,11,2,2012,15608545
27,Horror,12,26,2012,31081
35,Comedy,2,23,2012,24159934
18,Drama,9,7,2012,28258060
35,Comedy,12,20,2012,88058786
18,Drama,11,2,2012,161772375
35,Comedy,4,27,2012,53909751
18,Drama,9,23,2012,8138788
35,Comedy,4,13,2012,54819301
35,Comedy,10,25,2012,11417362
27,Horror,10,17,2012,142817992
27,Horror,10,27,2012,0
35,Comedy,7,26,2012,68267862
35,Comedy,8,9,2012,104907746
35,Comedy,4,22,2012,0
99,Documentary,7,13,2012,33400000
99,Documentary,5,18,2012,0
35,Comedy,5,15,2012,179379533
35,Comedy,3,2,2012,0
35,Comedy,6,14,2012,58058367
12,Adventure,3,27,2012,301000000
53,Thriller,8,10,2012,0
35,Comedy,4,4,2012,234989584
18,Drama,8,28,2012,16800000
27,Horror,5,19,2012,95000
18,Drama,9,28,2012,5310554
27,Horror,6,1,2013,0
35,Comedy,10,22,2013,151831537
18,Drama,6,28,2013,0
18,Drama,4,3,2013,318982
35,Comedy,5,9,2013,0
35,Comedy,10,31,2013,134402450
18,Drama,10,18,2013,0
99,Documentary,4,20,2013,0
35,Comedy,1,14,2013,0
99,Documentary,11,21,2013,0
53,Thriller,3,11,2013,0
10749,Romance,2,7,2013,97594140
35,Comedy,4,11,2013,78378744
18,Drama,12,27,2013,20275812
10402,Music,9,25,2013,7972967
27,Horror,4,19,2013,0
35,Comedy,10,10,2013,51164106
18,Drama,11,8,2013,76586316
28,Action,3,10,2013,0
18,Drama,5,16,2013,0
27,Horror,4,5,2013,97542952
35,Comedy,11,15,2013,71625195
27,Horror,1,17,2013,146497771
18,Drama,7,26,2013,4037782
18,Drama,7,25,2013,17385830
35,Comedy,7,11,2013,246984278
18,Drama,12,31,2013,0
35,Comedy,9,20,2013,0
27,Horror,9,8,2013,44030246
99,Documentary,2,20,2013,0
35,Comedy,1,1,2013,32438988
35,Comedy,6,7,2013,44000000
18,Drama,5,1,2013,21587700
35,Comedy,12,25,2013,44907260
35,Comedy,9,6,2013,7800000
10749,Romance,5,31,2013,46000000
53,Thriller,9,13,2013,0
35,Comedy,7,9,2013,0
18,Drama,4,12,2013,95020213
35,Comedy,12,18,2013,173649015
35,Comedy,9,27,2013,22456509
35,Comedy,3,14,2013,27437881
35,Comedy,3,1,2013,48065672
18,Drama,8,16,2013,115922175
18,Drama,10,25,2013,10700000
18,Drama,4,19,2013,2861020
18,Drama,4,19,2013,0
35,Comedy,4,25,2013,21819348
18,Drama,10,4,2013,0
18,Drama,11,1,2013,100129872
18,Drama,9,5,2014,0
35,Comedy,7,2,2014,100525432
99,Documentary,6,24,2014,0
27,Horror,10,21,2014,0
18,Drama,7,26,2014,0
35,Comedy,5,21,2014,123494610
18,Drama,10,8,2014,83719388
35,Comedy,11,26,2014,107670357
99,Documentary,3,8,2014,0
18,Drama,6,19,2014,0
35,Comedy,9,23,2014,0
10751,Family,6,12,2014,0
18,Drama,7,13,2014,0
18,Drama,4,11,2014,28831145
99,Documentary,11,15,2014,0
18,Drama,5,9,2014,38307627
35,Comedy,7,17,2014,126069509
99,Documentary,3,10,2014,0
18,Drama,8,6,2014,88880821
18,Drama,2,28,2014,67800064
99,Documentary,10,31,2014,0
18,Drama,9,12,2014,0
53,Thriller,8,8,2014,0
35,Comedy,11,12,2014,169837010
35,Comedy,10,9,2014,54837234
18,Drama,12,5,2014,43884652
18,Drama,4,16,2014,101332962
27,Horror,10,24,2014,103590271
53,Thriller,8,5,2014,0
35,Comedy,12,23,2014,0
53,Thriller,7,25,2014,31554855
18,Drama,8,22,2014,30127963
18,Drama,1,20,2014,0
18,Drama,8,21,2014,0
35,Comedy,4,30,2014,14348529
18,Drama,9,7,2014,5000000
18,Drama,9,6,2014,21571189
18,Drama,12,24,2014,28883511
18,Drama,11,7,2014,0
18,Drama,2,12,2014,53086
28,Action,9,11,2014,0
878,Science Fiction,9,27,2014,1500000
18,Drama,5,15,2014,0
18,Drama,8,21,2014,78874843
18,Drama,1,20,2014,32251
27,Horror,1,8,2014,36433975
27,Horror,10,2,2014,255273813
18,Drama,12,5,2014,52501541
37,Western,6,1,2014,0
27,Horror,10,31,2014,0
18,Drama,4,16,2014,0
35,Comedy,5,8,2014,268157400
35,Comedy,6,27,2014,0
35,Comedy,11,8,2014,45000
18,Drama,5,1,2014,0
18,Drama,5,16,2014,0
16,Animation,1,24,2014,0
35,Comedy,3,25,2014,10429707
99,Documentary,4,26,2014,0
18,Drama,7,3,2014,0
18,Drama,10,10,2014,13092000
18,Drama,6,5,2014,44349000
18,Drama,4,11,2014,2365467
35,Comedy,8,13,2014,136621271
18,Drama,1,18,2014,5284309
18,Drama,5,9,2014,0
878,Science Fiction,9,29,2015,0
16,Animation,11,5,2015,246233113
18,Drama,6,5,2015,0
18,Drama,9,18,2015,187674
28,Action,5,7,2015,0
18,Drama,4,24,2015,0
37,Western,10,9,2015,0
53,Thriller,1,23,2015,52425855
28,Action,4,1,2015,1506249360
53,Thriller,10,2,2015,0
99,Documentary,4,17,2015,0
28,Action,9,9,2015,311256926
10751,Family,10,27,2015,0
53,Thriller,8,7,2015,0
80,Crime,8,29,2015,0
18,Drama,9,11,2015,4842699
35,Comedy,6,25,2015,217022588
35,Comedy,12,25,2015,242786137
99,Documentary,9,4,2015,0
99,Documentary,2,9,2015,0
18,Drama,6,5,2015,0
27,Horror,5,8,2015,187112
35,Comedy,7,28,2015,104384188
18,Drama,2,8,2015,0
18,Drama,11,13,2015,0
18,Drama,11,12,2015,50363790
35,Comedy,3,5,2015,14431253
18,Drama,11,20,2015,0
27,Horror,10,16,2015,0
27,Horror,10,27,2015,0
53,Thriller,5,21,2015,0
18,Drama,10,2,2015,36606743
18,Drama,12,3,2015,0
18,Drama,2,20,2015,45710059
99,Documentary,7,31,2015,0
35,Comedy,7,17,2015,140795793
35,Comedy,3,26,2015,111811453
35,Comedy,2,20,2015,12314651
27,Horror,3,10,2015,0
35,Comedy,9,24,2015,194564672
27,Horror,8,19,2015,52882018
18,Drama,4,10,2015,61619773
35,Comedy,3,6,2015,0
18,Drama,11,25,2015,173567581
18,Drama,4,29,2016,0
35,Comedy,7,28,2016,183936074
18,Drama,7,29,2016,0
53,Thriller,5,5,2016,9930095
27,Horror,5,13,2016,320170008
27,Horror,4,21,2016,0
18,Drama,8,17,2016,94061311
14,Fantasy,2,25,2016,150680864
14,Fantasy,5,25,2016,299370084
878,Science Fiction,5,18,2016,543934787
18,Drama,8,26,2016,0
12,Adventure,9,9,2016,0
27,Horror,2,12,2016,0
28,Action,2,19,2016,46069568
18,Drama,3,17,2016,77000000
18,Drama,9,9,2016,15861566
18,Drama,7,8,2016,0
27,Horror,9,2,2016,0
35,Comedy,5,4,2016,108758521
35,Comedy,1,21,2016,94073028
28,Action,4,14,2016,14708696
18,Drama,9,16,2016,0
18,Drama,3,10,2016,6490401
27,Horror,5,3,2016,0
35,Comedy,2,6,2016,55969000
53,Thriller,5,12,2016,93282604
10751,Family,1,5,2016,0
35,Comedy,4,7,2016,78636257
18,Drama,4,1,2016,23507567
